id,html_url,full_url,position,visibility,label,type,url,hidden,unused
home,/courses/28643,https://hvl.instructure.com/courses/28643,1,public,Home,internal,,,
announcements,/courses/28643/announcements,https://hvl.instructure.com/courses/28643/announcements,2,public,Announcements,internal,,,
assignments,/courses/28643/assignments,https://hvl.instructure.com/courses/28643/assignments,3,public,Assignments,internal,,,
discussions,/courses/28643/discussion_topics,https://hvl.instructure.com/courses/28643/discussion_topics,4,public,Discussions,internal,,,
grades,/courses/28643/grades,https://hvl.instructure.com/courses/28643/grades,5,public,Grades,internal,,,
people,/courses/28643/users,https://hvl.instructure.com/courses/28643/users,6,public,People,internal,,,
pages,/courses/28643/wiki,https://hvl.instructure.com/courses/28643/wiki,7,public,Pages,internal,,,
files,/courses/28643/files,https://hvl.instructure.com/courses/28643/files,8,public,Files,internal,,,
quizzes,/courses/28643/quizzes,https://hvl.instructure.com/courses/28643/quizzes,9,public,Quizzes,internal,,,
modules,/courses/28643/modules,https://hvl.instructure.com/courses/28643/modules,10,public,Modules,internal,,,
context_external_tool_55,/courses/28643/external_tools/55,https://hvl.instructure.com/courses/28643/external_tools/55,11,public,Pensum,external,https://hvl.instructure.com/api/v1/courses/28643/external_tools/sessionless_launch?id=55&launch_type=course_navigation,,
context_external_tool_1247,/courses/28643/external_tools/1247,https://hvl.instructure.com/courses/28643/external_tools/1247,12,public,Zoom,external,https://hvl.instructure.com/api/v1/courses/28643/external_tools/sessionless_launch?id=1247&launch_type=course_navigation,,
context_external_tool_1650,/courses/28643/external_tools/1650,https://hvl.instructure.com/courses/28643/external_tools/1650,13,public,Panopto video,external,https://hvl.instructure.com/api/v1/courses/28643/external_tools/sessionless_launch?id=1650&launch_type=course_navigation,,
context_external_tool_1826,/courses/28643/external_tools/1826,https://hvl.instructure.com/courses/28643/external_tools/1826,14,admins,Overfør til FS,external,https://hvl.instructure.com/api/v1/courses/28643/external_tools/sessionless_launch?id=1826&launch_type=course_navigation,,
context_external_tool_1837,/courses/28643/external_tools/1837,https://hvl.instructure.com/courses/28643/external_tools/1837,15,admins,Ally Course Accessibility Report,external,https://hvl.instructure.com/api/v1/courses/28643/external_tools/sessionless_launch?id=1837&launch_type=course_navigation,,
context_external_tool_540,/courses/28643/external_tools/540,https://hvl.instructure.com/courses/28643/external_tools/540,16,admins,Class Notebook,external,https://hvl.instructure.com/api/v1/courses/28643/external_tools/sessionless_launch?id=540&launch_type=course_navigation,True,
context_external_tool_3,/courses/28643/external_tools/3,https://hvl.instructure.com/courses/28643/external_tools/3,17,admins,Office 365,external,https://hvl.instructure.com/api/v1/courses/28643/external_tools/sessionless_launch?id=3&launch_type=course_navigation,True,
rubrics,/courses/28643/rubrics,https://hvl.instructure.com/courses/28643/rubrics,18,admins,Rubrics,internal,,True,
outcomes,/courses/28643/outcomes,https://hvl.instructure.com/courses/28643/outcomes,19,admins,Outcomes,internal,,True,True
context_external_tool_355,/courses/28643/external_tools/355,https://hvl.instructure.com/courses/28643/external_tools/355,20,admins,New Analytics,external,https://hvl.instructure.com/api/v1/courses/28643/external_tools/sessionless_launch?id=355&launch_type=course_navigation,True,
syllabus,/courses/28643/assignments/syllabus,https://hvl.instructure.com/courses/28643/assignments/syllabus,21,admins,Syllabus,internal,,True,
context_external_tool_66,/courses/28643/external_tools/66,https://hvl.instructure.com/courses/28643/external_tools/66,22,admins,Attendance,external,https://hvl.instructure.com/api/v1/courses/28643/external_tools/sessionless_launch?id=66&launch_type=course_navigation,True,
collaborations,/courses/28643/collaborations,https://hvl.instructure.com/courses/28643/collaborations,23,admins,Collaborations,internal,,True,
context_external_tool_95,/courses/28643/external_tools/95,https://hvl.instructure.com/courses/28643/external_tools/95,24,admins,MyLab and Mastering,external,https://hvl.instructure.com/api/v1/courses/28643/external_tools/sessionless_launch?id=95&launch_type=course_navigation,True,
context_external_tool_332,/courses/28643/external_tools/332,https://hvl.instructure.com/courses/28643/external_tools/332,25,admins,Item Banks,external,https://hvl.instructure.com/api/v1/courses/28643/external_tools/sessionless_launch?id=332&launch_type=course_navigation,True,
context_external_tool_64,/courses/28643/external_tools/64,https://hvl.instructure.com/courses/28643/external_tools/64,26,admins,Chat,external,https://hvl.instructure.com/api/v1/courses/28643/external_tools/sessionless_launch?id=64&launch_type=course_navigation,True,
context_external_tool_563,/courses/28643/external_tools/563,https://hvl.instructure.com/courses/28643/external_tools/563,27,admins,SCORM,external,https://hvl.instructure.com/api/v1/courses/28643/external_tools/sessionless_launch?id=563&launch_type=course_navigation,True,
settings,/courses/28643/settings,https://hvl.instructure.com/courses/28643/settings,28,admins,Settings,internal,,,
